osmid,lat,lon,street_count
104496233,40.3875088,-80.0173048,3
104496314,40.4189551,-80.0116604,1
104498170,40.4051012,-79.9343493,3
104498181,40.4053689,-79.9346336,1
104498200,40.4048544,-79.9350325,3
104498209,40.405189,-79.9351294,1
104500453,40.4214862,-79.9429478,4
104500465,40.4534573,-79.9131858,3
104500662,40.4474152,-79.8994163,1
104500670,40.4470794,-79.8996262,3
104500676,40.4469181,-79.899727,1
104500695,40.4515826,-79.9039209,1
104500714,40.4511895,-79.9027871,3
104501231,40.4613848,-80.0123227,1
104502386,40.4122699,-79.9257616,3
104502826,40.4862287,-80.0371949,3
104502833,40.4843187,-80.0364832,3
104502997,40.4318609,-79.8993934,5
104503616,40.4049445,-79.9438824,1
104504169,40.4496869,-80.0183157,4
104504338,40.463526,-79.8991561,4
104504348,40.4637251,-79.9000696,1
104504426,40.4298365,-80.0166936,3
104504431,40.4298113,-80.0179314,3
104506678,40.4766602,-79.8986166,3
104506689,40.4758081,-79.89832,3
104506705,40.4727992,-79.8974678,1
104506716,40.473318,-79.8984877,1
104506800,40.4740213,-79.904411,3
104507069,40.4435483,-79.9521585,3
104507077,40.442381,-79.9516882,3
104507187,40.4268594,-79.9379862,3
104507936,40.4424105,-79.958403,2
104509485,40.4256725,-79.9262554,3
104509532,40.4035262,-80.0438603,3
104509552,40.4035354,-80.0443493,3
104509563,40.4285655,-79.9139826,3
104509571,40.4288995,-79.9140327,1
104510259,40.4518368,-80.0285295,4
104510415,40.4159774,-79.9337984,3
104510427,40.4158012,-79.9344181,1
104512489,40.4347401,-79.9551333,3
104512495,40.43584,-79.9546307,3
104512744,40.4239888,-79.9392405,3
104512750,40.4238449,-79.9392485,1
104513250,40.3836591,-80.0018643,1
104513258,40.3831867,-80.0014633,4
104513269,40.3828314,-80.0011744,3
104513279,40.4535433,-79.8667277,3
104513316,40.4545332,-79.8661845,1
104513357,40.4784351,-79.918763,3
104513367,40.4779575,-79.9190551,1
104513391,40.4215932,-79.925607,3
104513444,40.4302798,-79.9152178,3
104513470,40.4200923,-79.9065865,3
104513479,40.4196829,-79.9065272,1
104513492,40.460067,-80.0171219,3
104514577,40.366041,-79.9186873,3
104514583,40.3658256,-79.9191982,4
104515984,40.4140981,-79.9440749,3
104516018,40.4176549,-79.9426427,1
104517607,40.407569,-80.019875,3
104517640,40.4213264,-79.98217,3
104517688,40.4066611,-80.0230201,4
104517703,40.4060357,-80.0235629,3
104517716,40.4063747,-80.0245124,4
104518728,40.4064298,-80.0264034,4
104519426,40.4843774,-80.034321,3
104519433,40.4833219,-80.0339845,3
104519462,40.4834944,-80.0330683,3
104519474,40.4842102,-80.0333228,1
104519945,40.3757963,-79.9183348,1
104520161,40.369269,-79.913272,1
104520170,40.369373,-79.913637,1
104522032,40.4232413,-79.9962679,3
104522045,40.422762,-79.9962632,3
104522812,40.4517426,-79.8704148,4
104522822,40.4507121,-79.8694392,4
104522976,40.4198699,-79.9313071,3
104523004,40.460681,-79.9227515,4
104523012,40.4612076,-79.9223655,4
104523020,40.4616576,-79.9220912,4
104523025,40.462256,-79.9217065,4
104523036,40.4628901,-79.9213084,4
104523055,40.4440135,-79.9355861,1
104524752,40.4448886,-79.9366293,3
104526007,40.4851992,-79.9387172,3
104526014,40.484504,-79.9369995,3
104526094,40.452278,-79.9643605,3
104526106,40.4542074,-79.9615187,3
104526116,40.4542981,-79.9613958,3
104526128,40.4547038,-79.9607907,3
104526133,40.4560716,-79.9587851,3
104527071,40.4015167,-79.9972184,3
104527095,40.398924,-79.9971015,4
104527262,40.422411,-79.9980933,4
104527272,40.422413,-79.9974091,4
104527301,40.4224337,-80.000773,3
104527312,40.4224064,-79.9984734,4
104527330,40.4876103,-80.0162462,3
104527601,40.4597784,-79.8978077,3
104527605,40.4591941,-79.8956014,4
104527614,40.4587009,-79.8934473,4
104527621,40.4581967,-79.8911987,4
104527838,40.4456878,-79.9391116,3
104527844,40.4455936,-79.9378966,3
104528113,40.4642598,-79.9255269,4
104528120,40.4639566,-79.924481,3
104528126,40.4637491,-79.9237751,4
104528138,40.4633428,-79.9226082,3
104528147,40.4632409,-79.9223156,3
104528157,40.4630638,-79.9218071,3
104528579,40.4534725,-80.0519068,3
104528587,40.4539825,-80.0523874,3
104528592,40.4543564,-80.0527217,3
104528597,40.455361,-80.053672,4
104528607,40.4577676,-80.0559334,3
104528735,40.4311682,-79.9826079,3
104528743,40.4311247,-79.9818095,4
104528753,40.4310136,-79.9803343,4
